subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE
VPMBAUS11 TASK-LOC-1000 0.557465 0.549706 0.536267 0.519489 
VPMBAUS07 TASK-LOC-1000 0.608607 0.60373 0.58597 0.565692 
VPMBAUS15 TASK-LOC-1000 0.470364 0.489003 0.478191 0.458552 
VPMBAUS21 TASK-LOC-1000 0.55602 0.614753 0.56338 0.549211 
VPMBAUS03 TASK-LOC-1000 0.473381 0.478368 0.480499 0.457804 
VPMBAUS16 TASK-LOC-1000 0.463113 0.48305 0.462598 0.438214 
VPMBAUS01 TASK-LOC-1000 0.499547 0.476704 0.485573 0.480929 
VPMBAUS10 TASK-LOC-1000 0.448553 0.447003 0.435451 0.418262 
VPMBAUS05 TASK-LOC-1000 0.381 0.400039 0.385406 0.384683 
VPMBAUS06 TASK-LOC-1000 0.498967 0.489687 0.473313 0.470538 
VPMBAUS08 TASK-LOC-1000 0.549715 0.539955 0.549636 0.541699 
VPMBAUS02 TASK-LOC-1000 0.486108 0.508923 0.492047 0.482984 
VPMBAUS12 TASK-LOC-1000 0.489778 0.505475 0.503165 0.456957 
VPMBAUS22 TASK-LOC-1000 0.485175 0.477887 0.486106 0.457196 
VPMBAUS23 TASK-LOC-1000 0.462864 0.521535 0.449902 0.441469 
VPMBAUS11 TASK-AA-0500 0.600326 0.601294 0.586698 0.58845 
VPMBAUS15 TASK-AA-0500 0.513978 0.522567 0.51959 0.531295 
VPMBAUS21 TASK-AA-0500 0.629818 0.667288 0.633762 0.633118 
VPMBAUS03 TASK-AA-0500 0.531412 0.548223 0.539373 0.523639 
VPMBAUS07 TASK-AA-0500 0.667964 0.658007 0.646954 0.652403 
VPMBAUS16 TASK-AA-0500 0.508365 0.512295 0.514814 0.496877 
VPMBAUS10 TASK-AA-0500 0.490353 0.476438 0.482257 0.474329 
VPMBAUS02 TASK-AA-0500 0.555942 0.545782 0.558571 0.558252 
VPMBAUS05 TASK-AA-0500 0.413842 0.43709 0.43284 0.426987 
VPMBAUS01 TASK-AA-0500 0.568377 0.53536 0.536143 0.541566 
VPMBAUS06 TASK-AA-0500 0.565516 0.565773 0.556665 0.538568 
VPMBAUS23 TASK-AA-0500 0.51268 0.536309 0.517863 0.515183 
VPMBAUS08 TASK-AA-0500 0.618518 0.623365 0.61426 0.608363 
VPMBAUS22 TASK-AA-0500 0.54075 0.529981 0.530135 0.513669 
VPMBAUS12 TASK-AA-0500 0.52539 0.529889 0.535089 0.530478 
VPMBAUS11 TASK-AA-0750 0.577993 0.574908 0.559306 0.557712 
VPMBAUS15 TASK-AA-0750 0.50127 0.524435 0.511049 0.4932 
VPMBAUS21 TASK-AA-0750 0.604603 0.653497 0.611271 0.600174 
VPMBAUS03 TASK-AA-0750 0.508273 0.520247 0.513938 0.512313 
VPMBAUS16 TASK-AA-0750 0.489685 0.525243 0.504763 0.480617 
VPMBAUS07 TASK-AA-0750 0.647199 0.672458 0.630304 0.628545 
VPMBAUS02 TASK-AA-0750 0.509173 0.556882 0.538148 0.543727 
VPMBAUS05 TASK-AA-0750 0.416302 0.437548 0.42356 0.417599 
VPMBAUS10 TASK-AA-0750 0.483407 0.476912 0.467177 0.451249 
VPMBAUS01 TASK-AA-0750 0.560741 0.538863 0.542115 0.520145 
VPMBAUS08 TASK-AA-0750 0.580439 0.578821 0.589206 0.572798 
VPMBAUS23 TASK-AA-0750 0.505458 0.516026 0.484388 0.484938 
VPMBAUS06 TASK-AA-0750 0.53177 0.538327 0.53283 0.479646 
VPMBAUS22 TASK-AA-0750 0.514155 0.509385 0.513416 0.494977 
VPMBAUS12 TASK-AA-0750 0.503492 0.562199 0.516124 0.490644 
VPMBAUS11 TASK-AA-1000 0.538566 0.537874 0.523965 0.511494 
VPMBAUS15 TASK-AA-1000 0.473504 0.489425 0.481469 0.455931 
VPMBAUS03 TASK-AA-1000 0.476377 0.474769 0.475026 0.455299 
VPMBAUS07 TASK-AA-1000 0.609975 0.607774 0.590644 0.569234 
VPMBAUS21 TASK-AA-1000 0.562215 0.575404 0.55785 0.533735 
VPMBAUS16 TASK-AA-1000 0.462662 0.483296 0.462686 0.43739 
VPMBAUS02 TASK-AA-1000 0.482806 0.506164 0.493161 0.492845 
VPMBAUS05 TASK-AA-1000 0.371019 0.401438 0.388766 0.399256 
VPMBAUS23 TASK-AA-1000 0.458392 0.456451 0.44341 0.440384 
VPMBAUS01 TASK-AA-1000 0.527045 0.484088 0.496255 0.470459 
VPMBAUS08 TASK-AA-1000 0.56166 0.537447 0.546837 0.540154 
VPMBAUS10 TASK-AA-1000 0.440164 0.438179 0.423192 0.414978 
VPMBAUS06 TASK-AA-1000 0.529982 0.517388 0.509514 0.495272 
VPMBAUS22 TASK-AA-1000 0.487559 0.472871 0.468884 0.457707 
VPMBAUS12 TASK-AA-1000 0.474679 0.503528 0.497958 0.461417 
VPMBAUS11 TASK-AA-2500 0.421803 0.435404 0.388462 0.407052 
VPMBAUS15 TASK-AA-2500 0.429495 0.477574 0.438176 0.345892 
VPMBAUS03 TASK-AA-2500 0.32902 0.346786 0.308786 0.320768 
VPMBAUS21 TASK-AA-2500 0.372999 0.400038 0.342403 0.366144 
VPMBAUS07 TASK-AA-2500 0.418044 0.447916 0.40705 0.39325 
VPMBAUS16 TASK-AA-2500 0.323746 0.338334 0.311027 0.321354 
VPMBAUS02 TASK-AA-2500 0.337979 0.355738 0.325186 0.340544 
VPMBAUS05 TASK-AA-2500 0.272049 0.288055 0.260926 0.280693 
VPMBAUS01 TASK-AA-2500 0.389956 0.373795 0.354064 0.381221 
VPMBAUS23 TASK-AA-2500 0.294904 0.333384 0.298831 0.302395 
VPMBAUS06 TASK-AA-2500 0.356318 0.342187 0.321671 0.336546 
VPMBAUS10 TASK-AA-2500 0.33252 0.303782 0.284129 0.313188 
VPMBAUS08 TASK-AA-2500 0.418121 0.412378 0.380403 0.394879 
VPMBAUS22 TASK-AA-2500 0.358695 0.353608 0.333857 0.348469 
VPMBAUS12 TASK-AA-2500 0.347103 0.343061 0.331283 0.361804 
VPMBAUS11 TASK-UA-0500 0.600442 0.602302 0.591491 0.587042 
VPMBAUS15 TASK-UA-0500 0.502831 0.523316 0.520017 0.497355 
VPMBAUS07 TASK-UA-0500 0.674954 0.675534 0.660381 0.638165 
VPMBAUS03 TASK-UA-0500 0.543508 0.552786 0.543904 0.518871 
