subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE costAfterGREEPI costAfterGRESPE
VPMBAUS06 TASK-LOC-1000 0.110687 0.0796201 0.0741431 0.101766 0.0991737 0.0992376
VPMBAUS01 TASK-LOC-1000 0.102233 0.0811419 0.0676731 0.0840188 0.0834917 0.090121
VPMBAUS23 TASK-LOC-1000 0.127751 0.104388 0.101843 0.122702 0.119924 0.133177
VPMBAUS05 TASK-LOC-1000 0.105454 0.0545526 0.0496396 0.0956047 0.0930228 0.0966303
VPMBAUS22 TASK-LOC-1000 0.173484 0.139211 0.121387 0.155341 0.15885 0.164652
VPMBAUS02 TASK-LOC-1000 0.127237 0.114211 0.10839 0.12179 0.119964 0.12181
VPMBAUS11 TASK-LOC-1000 0.118426 0.0891442 0.0795653 0.104725 0.107936 0.103603
VPMBAUS03 TASK-LOC-1000 0.117085 0.083857 0.0760968 0.109769 0.11112 0.111818
VPMBAUS12 TASK-LOC-1000 0.120264 0.0775166 0.0656903 0.108467 0.110488 0.114017
VPMBAUS15 TASK-LOC-1000 0.118606 0.0846053 0.078299 0.100525 0.0977803 0.105785
VPMBAUS10 TASK-LOC-1000 0.117137 0.0844911 0.0717663 0.100385 0.101567 0.104163
VPMBAUS08 TASK-LOC-1000 0.137667 0.110525 0.089079 0.125972 0.124632 0.125666
VPMBAUS16 TASK-LOC-1000 0.10205 0.0680013 0.0616947 0.0889717 0.0883261 0.0906389
VPMBAUS07 TASK-LOC-1000 0.122981 0.101015 0.0868379 0.118662 0.113344 0.112556
VPMBAUS21 TASK-LOC-1000 0.116005 0.0708292 0.0628475 0.099667 0.100211 0.100794
VPMBAUS06 TASK-AA-0500 0.115806 0.083082 0.0753641 0.10336 0.0993884 0.0996133
VPMBAUS01 TASK-AA-0500 0.106032 0.0807288 0.0638759 0.0830064 0.0834408 0.0896989
VPMBAUS05 TASK-AA-0500 0.108368 0.0506987 0.0501004 0.0989207 0.0959287 0.0985764
VPMBAUS23 TASK-AA-0500 0.128222 0.111005 0.105502 0.123315 0.1173 0.127092
VPMBAUS11 TASK-AA-0500 0.115663 0.0897213 0.081794 0.106027 0.109354 0.105145
VPMBAUS02 TASK-AA-0500 0.128863 0.113764 0.111594 0.116669 0.116662 0.115939
VPMBAUS22 TASK-AA-0500 0.177503 0.145431 0.131172 0.158917 0.158848 0.170115
VPMBAUS15 TASK-AA-0500 0.118536 0.0850643 0.0806838 0.0979658 0.0987026 0.101509
VPMBAUS10 TASK-AA-0500 0.117988 0.0841095 0.0679032 0.104578 0.104832 0.105702
VPMBAUS08 TASK-AA-0500 0.137511 0.10929 0.087268 0.12643 0.126748 0.126669
VPMBAUS12 TASK-AA-0500 0.123582 0.0814256 0.0761992 0.108416 0.108897 0.112093
VPMBAUS03 TASK-AA-0500 0.117664 0.0839136 0.0765795 0.108512 0.108932 0.11019
VPMBAUS07 TASK-AA-0500 0.121609 0.0983348 0.0837079 0.113721 0.113104 0.108907
VPMBAUS16 TASK-AA-0500 0.104219 0.0670894 0.0582393 0.0936333 0.0933918 0.0929881
VPMBAUS21 TASK-AA-0500 0.119641 0.0715843 0.0622861 0.0977136 0.0987432 0.0984071
VPMBAUS06 TASK-AA-0750 0.114736 0.0797182 0.0727934 0.102927 0.0982605 0.0978889
VPMBAUS01 TASK-AA-0750 0.105989 0.0833484 0.0731883 0.0871667 0.0875645 0.0917245
VPMBAUS23 TASK-AA-0750 0.119334 0.102449 0.0957977 0.113169 0.106718 0.107192
VPMBAUS05 TASK-AA-0750 0.100656 0.0510489 0.0470229 0.0985926 0.0959387 0.0995845
VPMBAUS11 TASK-AA-0750 0.118078 0.0887647 0.0815898 0.109332 0.110317 0.10907
VPMBAUS15 TASK-AA-0750 0.11608 0.085386 0.0784578 0.0991594 0.0981196 0.102073
VPMBAUS22 TASK-AA-0750 0.174732 0.141197 0.122371 0.157798 0.159047 0.165038
VPMBAUS02 TASK-AA-0750 0.125639 0.11762 0.108695 0.116862 0.115596 0.117761
VPMBAUS12 TASK-AA-0750 0.114695 0.0749693 0.0654554 0.106592 0.106458 0.108505
VPMBAUS08 TASK-AA-0750 0.143888 0.112359 0.0903429 0.127333 0.125217 0.125747
VPMBAUS10 TASK-AA-0750 0.11464 0.0818347 0.0661438 0.107146 0.106435 0.109272
VPMBAUS16 TASK-AA-0750 0.105837 0.0644705 0.0538133 0.0929229 0.0901044 0.0918313
VPMBAUS03 TASK-AA-0750 0.120582 0.0827887 0.071857 0.108849 0.110571 0.109836
VPMBAUS07 TASK-AA-0750 0.118731 0.0926144 0.08157 0.114574 0.111313 0.108531
VPMBAUS21 TASK-AA-0750 0.113912 0.0713032 0.0601494 0.0985482 0.0975949 0.0971493
VPMBAUS11 TASK-AA-1000 0.118322 0.0878587 0.0789332 0.10693 0.109069 0.10575
VPMBAUS06 TASK-AA-1000 0.112659 0.0808907 0.0735944 0.104141 0.0993091 0.0996765
VPMBAUS01 TASK-AA-1000 0.105266 0.078254 0.0702542 0.0836942 0.0859706 0.089747
VPMBAUS23 TASK-AA-1000 0.121666 0.0997276 0.0931214 0.119404 0.113001 0.123179
VPMBAUS22 TASK-AA-1000 0.177277 0.142023 0.127401 0.16175 0.161457 0.169936
VPMBAUS15 TASK-AA-1000 0.116363 0.0827436 0.0779048 0.10133 0.0970692 0.105667
VPMBAUS02 TASK-AA-1000 0.130141 0.114411 0.113885 0.122645 0.121689 0.122917
VPMBAUS12 TASK-AA-1000 0.127275 0.0820426 0.0774194 0.117878 0.118117 0.118612
VPMBAUS05 TASK-AA-1000 0.104633 0.0525161 0.0486439 0.0979425 0.0958139 0.0982857
VPMBAUS21 TASK-AA-1000 0.118785 0.0710393 0.0660171 0.10397 0.103838 0.10368
VPMBAUS08 TASK-AA-1000 0.137653 0.107918 0.0867923 0.129838 0.126062 0.129219
VPMBAUS03 TASK-AA-1000 0.118782 0.0851904 0.0769777 0.108986 0.11027 0.110188
VPMBAUS07 TASK-AA-1000 0.122742 0.0989099 0.0867867 0.117595 0.113422 0.112314
VPMBAUS16 TASK-AA-1000 0.103538 0.0650282 0.0585637 0.0896229 0.0888048 0.0896911
VPMBAUS10 TASK-AA-1000 0.119316 0.0815223 0.0690458 0.107115 0.107427 0.109849
VPMBAUS11 TASK-AA-2500 0.285555 0.133561 0.106149 0.294412 0.281492 0.305841
VPMBAUS06 TASK-AA-2500 0.307903 0.121437 0.101718 0.307231 0.296234 0.301183
VPMBAUS23 TASK-AA-2500 0.330777 0.158821 0.136814 0.34016 0.327113 0.357411
VPMBAUS12 TASK-AA-2500 0.336115 0.111936 0.0958915 0.338044 0.338193 0.343896
VPMBAUS21 TASK-AA-2500 0.325929 0.115483 0.0993688 0.320712 0.315699 0.322025
VPMBAUS22 TASK-AA-2500 0.467369 0.213806 0.193502 0.453499 0.455255 0.464864
VPMBAUS07 TASK-AA-2500 0.271803 0.140581 0.104966 0.26954 0.261286 0.281813
VPMBAUS01 TASK-AA-2500 0.27203 0.127557 0.0981959 0.267593 0.266648 0.276381
VPMBAUS02 TASK-AA-2500 0.340163 0.172807 0.161277 0.339374 0.339396 0.338299
VPMBAUS10 TASK-AA-2500 0.339929 0.142115 0.110119 0.333158 0.325569 0.333064
VPMBAUS03 TASK-AA-2500 0.356754 0.128657 0.106175 0.35143 0.349634 0.348255
VPMBAUS08 TASK-AA-2500 0.357068 0.156981 0.1307 0.360085 0.349732 0.356568
VPMBAUS15 TASK-AA-2500 0.303555 0.129319 0.114242 0.282324 0.2821 0.279868
VPMBAUS05 TASK-AA-2500 0.344159 0.0874411 0.076888 0.336749 0.332677 0.337814
VPMBAUS16 TASK-AA-2500 0.293256 0.106786 0.0974744 0.29173 0.287585 0.289526
VPMBAUS11 TASK-UA-0500 0.114843 0.0871733 0.0805392 0.105177 0.107523 0.104379
VPMBAUS23 TASK-UA-0500 0.126233 0.107803 0.10499 0.12071 0.114197 0.125177
VPMBAUS06 TASK-UA-0500 0.116205 0.0832664 0.075538 0.105344 0.101194 0.100062
VPMBAUS07 TASK-UA-0500 0.120524 0.0965037 0.086062 0.1163 0.112997 0.108756
VPMBAUS21 TASK-UA-0500 0.115435 0.0710307 0.0607086 0.0980167 0.0969849 0.0982927
VPMBAUS12 TASK-UA-0500 0.126705 0.0766916 0.0656385 0.111798 0.114384 0.115169
VPMBAUS01 TASK-UA-0500 0.107038 0.0838135 0.0676179 0.0839826 0.0865713 0.0909852
VPMBAUS22 TASK-UA-0500 0.179488 0.144962 0.134904 0.159073 0.158111 0.168218
VPMBAUS03 TASK-UA-0500 0.122193 0.0852706 0.0764599 0.109889 0.109796 0.111592
VPMBAUS08 TASK-UA-0500 0.14389 0.114033 0.0904067 0.124679 0.127151 0.127053
VPMBAUS02 TASK-UA-0500 0.132614 0.121833 0.11607 0.117984 0.117595 0.117812
VPMBAUS16 TASK-UA-0500 0.108597 0.0698713 0.0591329 0.0959678 0.0956579 0.0963439
VPMBAUS15 TASK-UA-0500 0.12148 0.089807 0.0832812 0.10788 0.106566 0.108494
VPMBAUS10 TASK-UA-0500 0.119255 0.0849193 0.0699819 0.102832 0.105098 0.106412
VPMBAUS05 TASK-UA-0500 0.108153 0.0514583 0.0471671 0.0990943 0.0961882 0.0995987
VPMBAUS11 TASK-UA-0750 0.118543 0.0905765 0.0834509 0.109763 0.110971 0.109191
VPMBAUS23 TASK-UA-0750 0.117241 0.0939822 0.0900807 0.111313 0.104914 0.106264
VPMBAUS21 TASK-UA-0750 0.11733 0.070265 0.0594565 0.101537 0.100771 0.0986998
VPMBAUS06 TASK-UA-0750 0.111988 0.0776964 0.0703492 0.106195 0.101928 0.102757
VPMBAUS07 TASK-UA-0750 0.118791 0.0936045 0.0833486 0.113605 0.111871 0.108504
VPMBAUS12 TASK-UA-0750 0.121582 0.0789421 0.0700457 0.111755 0.114087 0.114249
VPMBAUS01 TASK-UA-0750 0.105302 0.0825922 0.070263 0.0852672 0.0852926 0.0911189
VPMBAUS22 TASK-UA-0750 0.175966 0.139153 0.126412 0.161494 0.162674 0.168768
VPMBAUS02 TASK-UA-0750 0.12883 0.11502 0.106257 0.115762 0.113829 0.116784
VPMBAUS03 TASK-UA-0750 0.1216 0.0837471 0.0722344 0.108542 0.109901 0.109708
VPMBAUS08 TASK-UA-0750 0.146258 0.111225 0.0913332 0.129561 0.125915 0.127352
VPMBAUS15 TASK-UA-0750 0.118089 0.0819653 0.0754995 0.0986892 0.0962322 0.100763
VPMBAUS16 TASK-UA-0750 0.1075 0.0658387 0.0562477 0.0920432 0.0920494 0.0917054
VPMBAUS05 TASK-UA-0750 0.10337 0.0498634 0.0474865 0.0997278 0.0969161 0.100395
VPMBAUS10 TASK-UA-0750 0.116322 0.0863129 0.0680665 0.103852 0.102384 0.106289
VPMBAUS11 TASK-UA-1000 0.115564 0.0879989 0.0787685 0.106175 0.108652 0.104801
VPMBAUS23 TASK-UA-1000 0.12253 0.101725 0.0943508 0.121577 0.11454 0.1262
VPMBAUS07 TASK-UA-1000 0.121268 0.096586 0.0843015 0.117466 0.113701 0.111218
VPMBAUS21 TASK-UA-1000 0.121228 0.0708569 0.0652079 0.104175 0.104721 0.104423
VPMBAUS06 TASK-UA-1000 0.115454 0.076306 0.0727733 0.103987 0.0993698 0.0987006
VPMBAUS12 TASK-UA-1000 0.122965 0.0796165 0.0749448 0.119264 0.120818 0.121854
VPMBAUS01 TASK-UA-1000 0.106286 0.08039 0.0659441 0.0858567 0.0876361 0.0920389
VPMBAUS02 TASK-UA-1000 0.131124 0.113678 0.114604 0.123285 0.122501 0.123157
VPMBAUS22 TASK-UA-1000 0.176844 0.146004 0.126134 0.161157 0.160713 0.169207
VPMBAUS15 TASK-UA-1000 0.119077 0.0816994 0.0778794 0.103787 0.100184 0.106012
VPMBAUS03 TASK-UA-1000 0.121659 0.0863806 0.0764064 0.108965 0.110237 0.110667
VPMBAUS16 TASK-UA-1000 0.103745 0.0657694 0.060141 0.0909539 0.0910469 0.0919243
VPMBAUS08 TASK-UA-1000 0.141462 0.109298 0.0873219 0.129688 0.126176 0.129277
VPMBAUS10 TASK-UA-1000 0.121565 0.0850465 0.0731436 0.105381 0.106117 0.106672
VPMBAUS05 TASK-UA-1000 0.106692 0.0521397 0.0468458 0.0981679 0.0958722 0.0979748
VPMBAUS11 TASK-UA-2500 0.290463 0.131527 0.106118 0.293953 0.281133 0.305853
VPMBAUS07 TASK-UA-2500 0.274054 0.142184 0.106552 0.270541 0.263427 0.282485
VPMBAUS23 TASK-UA-2500 0.329877 0.161357 0.136381 0.338969 0.326214 0.359033
VPMBAUS06 TASK-UA-2500 0.308341 0.121973 0.105734 0.314462 0.302465 0.308135
VPMBAUS21 TASK-UA-2500 0.328148 0.119197 0.101003 0.322578 0.317042 0.323109
VPMBAUS12 TASK-UA-2500 0.342741 0.112847 0.0948724 0.347282 0.348046 0.356322
VPMBAUS01 TASK-UA-2500 0.270561 0.123281 0.0961118 0.267694 0.26727 0.277658
VPMBAUS02 TASK-UA-2500 0.340473 0.167797 0.152174 0.33695 0.336888 0.334905
VPMBAUS22 TASK-UA-2500 0.47021 0.211981 0.1935 0.456814 0.459471 0.468114
VPMBAUS15 TASK-UA-2500 0.271233 0.131157 0.114023 0.271929 0.272183 0.271584
VPMBAUS03 TASK-UA-2500 0.361989 0.127751 0.107847 0.351139 0.349094 0.348654
VPMBAUS16 TASK-UA-2500 0.29722 0.104968 0.0962396 0.293925 0.289353 0.29158
VPMBAUS08 TASK-UA-2500 0.364111 0.156123 0.129166 0.361764 0.351615 0.359807
VPMBAUS10 TASK-UA-2500 0.341451 0.140187 0.110966 0.335449 0.330015 0.336452
VPMBAUS05 TASK-UA-2500 0.342343 0.0848477 0.0733052 0.337555 0.335003 0.338004
