subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE costAfterGREEPI costAfterGRESPE
VPMBAUS06 TASK-LOC-1000 -1.19269 -1.25048 -1.25576 -1.19754 -1.19792 -1.19762
VPMBAUS01 TASK-LOC-1000 -1.20791 -1.26666 -1.27037 -1.21771 -1.21573 -1.2147
VPMBAUS23 TASK-LOC-1000 -1.20731 -1.2466 -1.24906 -1.20761 -1.20634 -1.20096
VPMBAUS05 TASK-LOC-1000 -1.18774 -1.25251 -1.25758 -1.18908 -1.19044 -1.18931
VPMBAUS22 TASK-LOC-1000 -1.17904 -1.23219 -1.2385 -1.18012 -1.1795 -1.17655
VPMBAUS02 TASK-LOC-1000 -1.19727 -1.24396 -1.252 -1.19893 -1.19877 -1.19745
VPMBAUS11 TASK-LOC-1000 -1.20049 -1.26952 -1.26634 -1.20525 -1.20505 -1.20723
VPMBAUS03 TASK-LOC-1000 -1.20165 -1.255 -1.25905 -1.20053 -1.19937 -1.19969
VPMBAUS12 TASK-LOC-1000 -1.1891 -1.24561 -1.25 -1.19429 -1.19229 -1.19218
VPMBAUS15 TASK-LOC-1000 -1.20203 -1.26659 -1.26375 -1.20891 -1.20825 -1.2069
VPMBAUS10 TASK-LOC-1000 -1.18877 -1.24251 -1.24624 -1.19261 -1.19075 -1.19104
VPMBAUS08 TASK-LOC-1000 -1.18128 -1.24051 -1.24569 -1.18412 -1.18444 -1.18621
VPMBAUS16 TASK-LOC-1000 -1.19878 -1.26253 -1.26307 -1.20335 -1.20287 -1.20278
VPMBAUS07 TASK-LOC-1000 -1.20375 -1.26125 -1.25884 -1.20466 -1.20141 -1.20608
VPMBAUS21 TASK-LOC-1000 -1.18653 -1.25943 -1.25939 -1.18923 -1.19249 -1.18969
VPMBAUS06 TASK-AA-0500 -1.19073 -1.25241 -1.25443 -1.19612 -1.1961 -1.19674
VPMBAUS01 TASK-AA-0500 -1.2066 -1.26895 -1.26929 -1.21618 -1.21565 -1.21221
VPMBAUS05 TASK-AA-0500 -1.18686 -1.2541 -1.25667 -1.18629 -1.18711 -1.18509
VPMBAUS23 TASK-AA-0500 -1.20646 -1.24208 -1.24815 -1.20822 -1.20772 -1.20686
VPMBAUS11 TASK-AA-0500 -1.20084 -1.26835 -1.26689 -1.20476 -1.20266 -1.20546
VPMBAUS02 TASK-AA-0500 -1.19266 -1.24193 -1.24803 -1.19757 -1.19744 -1.19609
VPMBAUS22 TASK-AA-0500 -1.18081 -1.23181 -1.23562 -1.18089 -1.17802 -1.17869
VPMBAUS15 TASK-AA-0500 -1.19791 -1.26427 -1.26137 -1.20777 -1.20203 -1.20522
VPMBAUS10 TASK-AA-0500 -1.18695 -1.24518 -1.24705 -1.18958 -1.18914 -1.18828
VPMBAUS08 TASK-AA-0500 -1.18174 -1.24126 -1.24614 -1.18529 -1.18474 -1.18612
VPMBAUS12 TASK-AA-0500 -1.1901 -1.24202 -1.24861 -1.19498 -1.19618 -1.19386
VPMBAUS03 TASK-AA-0500 -1.2031 -1.2531 -1.25599 -1.20256 -1.19938 -1.20016
VPMBAUS07 TASK-AA-0500 -1.20163 -1.26277 -1.25809 -1.20467 -1.20129 -1.20268
VPMBAUS16 TASK-AA-0500 -1.19469 -1.26637 -1.26586 -1.19784 -1.19793 -1.19833
VPMBAUS21 TASK-AA-0500 -1.18775 -1.25522 -1.25833 -1.19385 -1.19271 -1.19209
VPMBAUS06 TASK-AA-0750 -1.19356 -1.25169 -1.25498 -1.19624 -1.19491 -1.19469
VPMBAUS01 TASK-AA-0750 -1.2056 -1.26291 -1.26658 -1.21336 -1.21242 -1.21183
VPMBAUS23 TASK-AA-0750 -1.20785 -1.2465 -1.24884 -1.20794 -1.20812 -1.20995
VPMBAUS05 TASK-AA-0750 -1.19177 -1.25201 -1.25758 -1.18729 -1.1883 -1.18762
VPMBAUS11 TASK-AA-0750 -1.19762 -1.26945 -1.26166 -1.20004 -1.20387 -1.20319
VPMBAUS15 TASK-AA-0750 -1.19981 -1.25908 -1.26269 -1.20946 -1.20716 -1.20795
VPMBAUS22 TASK-AA-0750 -1.17888 -1.22626 -1.23573 -1.17895 -1.17958 -1.17859
VPMBAUS02 TASK-AA-0750 -1.19219 -1.24112 -1.24918 -1.1963 -1.19376 -1.19446
VPMBAUS12 TASK-AA-0750 -1.19395 -1.24322 -1.24765 -1.19472 -1.19464 -1.19488
VPMBAUS08 TASK-AA-0750 -1.17766 -1.24175 -1.24385 -1.18253 -1.18138 -1.18257
VPMBAUS10 TASK-AA-0750 -1.1865 -1.23998 -1.24583 -1.18734 -1.18707 -1.1864
VPMBAUS16 TASK-AA-0750 -1.1952 -1.25952 -1.2614 -1.19908 -1.19925 -1.19972
VPMBAUS03 TASK-AA-0750 -1.20137 -1.25468 -1.25874 -1.2039 -1.20286 -1.20278
VPMBAUS07 TASK-AA-0750 -1.19968 -1.2599 -1.25692 -1.20581 -1.19997 -1.20348
VPMBAUS21 TASK-AA-0750 -1.18809 -1.25587 -1.26053 -1.19165 -1.18968 -1.19191
VPMBAUS11 TASK-AA-1000 -1.19771 -1.27067 -1.26342 -1.20274 -1.20164 -1.20445
VPMBAUS06 TASK-AA-1000 -1.19142 -1.25236 -1.25488 -1.19626 -1.19478 -1.19598
VPMBAUS01 TASK-AA-1000 -1.20543 -1.27038 -1.26919 -1.2158 -1.21421 -1.21429
VPMBAUS23 TASK-AA-1000 -1.20567 -1.25013 -1.25146 -1.2048 -1.20687 -1.20309
VPMBAUS22 TASK-AA-1000 -1.18036 -1.23301 -1.24024 -1.17827 -1.17943 -1.17758
VPMBAUS15 TASK-AA-1000 -1.20252 -1.26607 -1.26254 -1.20937 -1.20685 -1.20499
VPMBAUS02 TASK-AA-1000 -1.19286 -1.23884 -1.24268 -1.19846 -1.19606 -1.19315
VPMBAUS12 TASK-AA-1000 -1.1822 -1.24517 -1.25048 -1.18624 -1.18404 -1.18586
VPMBAUS05 TASK-AA-1000 -1.18757 -1.25576 -1.26319 -1.18444 -1.18648 -1.18541
VPMBAUS21 TASK-AA-1000 -1.18595 -1.25997 -1.26043 -1.18935 -1.1898 -1.1911
VPMBAUS08 TASK-AA-1000 -1.18253 -1.24398 -1.24897 -1.18264 -1.18243 -1.18096
VPMBAUS03 TASK-AA-1000 -1.19887 -1.25478 -1.25985 -1.20239 -1.19906 -1.20132
VPMBAUS07 TASK-AA-1000 -1.20134 -1.26407 -1.25477 -1.20296 -1.20123 -1.20556
VPMBAUS16 TASK-AA-1000 -1.19612 -1.26774 -1.26687 -1.20019 -1.20031 -1.2008
VPMBAUS10 TASK-AA-1000 -1.18517 -1.24773 -1.24726 -1.18926 -1.18744 -1.18722
VPMBAUS11 TASK-AA-2500 -1.17464 -1.27967 -1.29318 -1.16331 -1.16604 -1.16391
VPMBAUS06 TASK-AA-2500 -1.17062 -1.27268 -1.27975 -1.16333 -1.16458 -1.16213
VPMBAUS23 TASK-AA-2500 -1.19229 -1.25456 -1.26662 -1.18115 -1.18171 -1.17639
VPMBAUS12 TASK-AA-2500 -1.16368 -1.25638 -1.26121 -1.15595 -1.15459 -1.15558
VPMBAUS21 TASK-AA-2500 -1.15896 -1.26478 -1.27903 -1.15245 -1.15337 -1.15067
VPMBAUS22 TASK-AA-2500 -1.15153 -1.23871 -1.24574 -1.14441 -1.14601 -1.14712
VPMBAUS07 TASK-AA-2500 -1.18697 -1.2646 -1.28258 -1.18078 -1.18136 -1.18129
VPMBAUS01 TASK-AA-2500 -1.19284 -1.26486 -1.28006 -1.18071 -1.18042 -1.18046
VPMBAUS02 TASK-AA-2500 -1.17818 -1.2585 -1.26171 -1.16803 -1.16802 -1.16925
VPMBAUS10 TASK-AA-2500 -1.15338 -1.24857 -1.26414 -1.15116 -1.1532 -1.15124
VPMBAUS03 TASK-AA-2500 -1.17592 -1.26662 -1.2797 -1.16763 -1.1674 -1.16703
VPMBAUS08 TASK-AA-2500 -1.15378 -1.25237 -1.26518 -1.14825 -1.14995 -1.14887
VPMBAUS15 TASK-AA-2500 -1.18042 -1.26382 -1.26968 -1.1772 -1.17424 -1.17822
VPMBAUS05 TASK-AA-2500 -1.14096 -1.26824 -1.27265 -1.13843 -1.13792 -1.13812
VPMBAUS16 TASK-AA-2500 -1.16995 -1.26897 -1.2785 -1.16472 -1.16532 -1.16338
VPMBAUS11 TASK-UA-0500 -1.19932 -1.27169 -1.26584 -1.20284 -1.20193 -1.20315
VPMBAUS23 TASK-UA-0500 -1.20881 -1.24337 -1.24494 -1.20694 -1.20659 -1.20561
VPMBAUS06 TASK-UA-0500 -1.19105 -1.2517 -1.25539 -1.19619 -1.19499 -1.19782
VPMBAUS07 TASK-UA-0500 -1.20104 -1.26456 -1.2595 -1.203 -1.20247 -1.2039
VPMBAUS21 TASK-UA-0500 -1.18739 -1.2588 -1.26374 -1.1936 -1.19242 -1.19345
VPMBAUS12 TASK-UA-0500 -1.18944 -1.24207 -1.24907 -1.18863 -1.18716 -1.18619
VPMBAUS01 TASK-UA-0500 -1.20724 -1.26572 -1.27047 -1.21452 -1.21228 -1.21072
VPMBAUS22 TASK-UA-0500 -1.1808 -1.22939 -1.23655 -1.1792 -1.17903 -1.17892
VPMBAUS03 TASK-UA-0500 -1.19938 -1.25389 -1.25556 -1.20103 -1.1981 -1.19808
VPMBAUS08 TASK-UA-0500 -1.1794 -1.23937 -1.24579 -1.18479 -1.18319 -1.18507
VPMBAUS02 TASK-UA-0500 -1.19343 -1.24201 -1.24006 -1.19492 -1.19467 -1.19403
VPMBAUS16 TASK-UA-0500 -1.1957 -1.26338 -1.26896 -1.19821 -1.19918 -1.19893
VPMBAUS15 TASK-UA-0500 -1.19439 -1.26657 -1.26367 -1.20796 -1.20185 -1.20502
VPMBAUS10 TASK-UA-0500 -1.18726 -1.24422 -1.24556 -1.18883 -1.1892 -1.18824
VPMBAUS05 TASK-UA-0500 -1.18912 -1.25044 -1.25502 -1.18537 -1.1874 -1.18497
VPMBAUS11 TASK-UA-0750 -1.1988 -1.26753 -1.2592 -1.20102 -1.20341 -1.20214
VPMBAUS23 TASK-UA-0750 -1.20858 -1.24896 -1.24973 -1.21164 -1.21061 -1.21058
VPMBAUS21 TASK-UA-0750 -1.18623 -1.25317 -1.26543 -1.18862 -1.18981 -1.19128
VPMBAUS06 TASK-UA-0750 -1.1907 -1.25422 -1.25781 -1.19297 -1.19307 -1.19259
VPMBAUS07 TASK-UA-0750 -1.20099 -1.25855 -1.25712 -1.20348 -1.19817 -1.20318
VPMBAUS12 TASK-UA-0750 -1.18911 -1.24275 -1.25249 -1.18838 -1.18808 -1.18883
VPMBAUS01 TASK-UA-0750 -1.2076 -1.26891 -1.27243 -1.21423 -1.21404 -1.21209
VPMBAUS22 TASK-UA-0750 -1.17791 -1.2281 -1.23615 -1.17884 -1.17892 -1.17762
VPMBAUS02 TASK-UA-0750 -1.19198 -1.24473 -1.24951 -1.19565 -1.19358 -1.19282
VPMBAUS03 TASK-UA-0750 -1.202 -1.25535 -1.25936 -1.20124 -1.19916 -1.20015
VPMBAUS08 TASK-UA-0750 -1.17856 -1.23955 -1.24549 -1.18246 -1.18224 -1.18138
VPMBAUS15 TASK-UA-0750 -1.19892 -1.2605 -1.26162 -1.21037 -1.20677 -1.21027
VPMBAUS16 TASK-UA-0750 -1.19202 -1.25796 -1.26253 -1.19432 -1.19584 -1.19732
