subID taskName costBefore costAfterSPE costAfterEPI costAfterGRE costAfterGREEPI costAfterGRESPE
VPMBAUS06 TASK-LOC-1000 0.498967 0.489687 0.473313 0.470538 0.471531 0.478998
VPMBAUS01 TASK-LOC-1000 0.499547 0.476704 0.485573 0.480929 0.48541 0.480558
VPMBAUS23 TASK-LOC-1000 0.462864 0.521535 0.449902 0.441469 0.446392 0.472532
VPMBAUS05 TASK-LOC-1000 0.381 0.400039 0.385406 0.384683 0.393328 0.382497
VPMBAUS22 TASK-LOC-1000 0.485175 0.477887 0.486106 0.457196 0.466419 0.500928
VPMBAUS02 TASK-LOC-1000 0.486108 0.508923 0.492047 0.482984 0.490813 0.483324
VPMBAUS11 TASK-LOC-1000 0.557465 0.549706 0.536267 0.519489 0.514087 0.519023
VPMBAUS03 TASK-LOC-1000 0.473381 0.478368 0.480499 0.457804 0.470025 0.459564
VPMBAUS12 TASK-LOC-1000 0.489778 0.505475 0.503165 0.456957 0.471598 0.468692
VPMBAUS15 TASK-LOC-1000 0.470364 0.489003 0.478191 0.458552 0.469624 0.46438
VPMBAUS10 TASK-LOC-1000 0.448553 0.447003 0.435451 0.418262 0.43107 0.422162
VPMBAUS08 TASK-LOC-1000 0.549715 0.539955 0.549636 0.541699 0.54395 0.537819
VPMBAUS16 TASK-LOC-1000 0.463113 0.48305 0.462598 0.438214 0.451576 0.443373
VPMBAUS07 TASK-LOC-1000 0.608607 0.60373 0.58597 0.565692 0.572642 0.567569
VPMBAUS21 TASK-LOC-1000 0.55602 0.614753 0.56338 0.549211 0.551962 0.54952
VPMBAUS06 TASK-AA-0500 0.565516 0.565773 0.556665 0.538568 0.543014 0.543756
VPMBAUS01 TASK-AA-0500 0.568377 0.53536 0.536143 0.541566 0.5514 0.540538
VPMBAUS05 TASK-AA-0500 0.413842 0.43709 0.43284 0.426987 0.439541 0.422902
VPMBAUS23 TASK-AA-0500 0.51268 0.536309 0.517863 0.515183 0.523984 0.520273
VPMBAUS11 TASK-AA-0500 0.600326 0.601294 0.586698 0.58845 0.577311 0.585807
VPMBAUS02 TASK-AA-0500 0.555942 0.545782 0.558571 0.558252 0.565889 0.556936
VPMBAUS22 TASK-AA-0500 0.54075 0.529981 0.530135 0.513669 0.529647 0.550589
VPMBAUS15 TASK-AA-0500 0.513978 0.522567 0.51959 0.531295 0.543211 0.537679
VPMBAUS10 TASK-AA-0500 0.490353 0.476438 0.482257 0.474329 0.491102 0.478781
VPMBAUS08 TASK-AA-0500 0.618518 0.623365 0.61426 0.608363 0.60982 0.602974
VPMBAUS12 TASK-AA-0500 0.52539 0.529889 0.535089 0.530478 0.545144 0.540797
VPMBAUS03 TASK-AA-0500 0.531412 0.548223 0.539373 0.523639 0.537316 0.522903
VPMBAUS07 TASK-AA-0500 0.667964 0.658007 0.646954 0.652403 0.657434 0.652683
VPMBAUS16 TASK-AA-0500 0.508365 0.512295 0.514814 0.496877 0.513925 0.501733
VPMBAUS21 TASK-AA-0500 0.629818 0.667288 0.633762 0.633118 0.634813 0.631398
VPMBAUS06 TASK-AA-0750 0.53177 0.538327 0.53283 0.479646 0.486975 0.485065
VPMBAUS01 TASK-AA-0750 0.560741 0.538863 0.542115 0.520145 0.526913 0.518134
VPMBAUS23 TASK-AA-0750 0.505458 0.516026 0.484388 0.484938 0.489232 0.491035
VPMBAUS05 TASK-AA-0750 0.416302 0.437548 0.42356 0.417599 0.426793 0.416384
VPMBAUS11 TASK-AA-0750 0.577993 0.574908 0.559306 0.557712 0.546329 0.556535
VPMBAUS15 TASK-AA-0750 0.50127 0.524435 0.511049 0.4932 0.502098 0.500209
VPMBAUS22 TASK-AA-0750 0.514155 0.509385 0.513416 0.494977 0.513518 0.531914
VPMBAUS02 TASK-AA-0750 0.509173 0.556882 0.538148 0.543727 0.547559 0.543297
VPMBAUS12 TASK-AA-0750 0.503492 0.562199 0.516124 0.490644 0.504675 0.499259
VPMBAUS08 TASK-AA-0750 0.580439 0.578821 0.589206 0.572798 0.576345 0.566651
VPMBAUS10 TASK-AA-0750 0.483407 0.476912 0.467177 0.451249 0.464859 0.455071
VPMBAUS16 TASK-AA-0750 0.489685 0.525243 0.504763 0.480617 0.489064 0.482836
VPMBAUS03 TASK-AA-0750 0.508273 0.520247 0.513938 0.512313 0.526842 0.51073
VPMBAUS07 TASK-AA-0750 0.647199 0.672458 0.630304 0.628545 0.632104 0.626138
VPMBAUS21 TASK-AA-0750 0.604603 0.653497 0.611271 0.600174 0.601937 0.601165
VPMBAUS11 TASK-AA-1000 0.538566 0.537874 0.523965 0.511494 0.504002 0.51085
VPMBAUS06 TASK-AA-1000 0.529982 0.517388 0.509514 0.495272 0.497777 0.500572
VPMBAUS01 TASK-AA-1000 0.527045 0.484088 0.496255 0.470459 0.478986 0.470145
VPMBAUS23 TASK-AA-1000 0.458392 0.456451 0.44341 0.440384 0.450704 0.471206
VPMBAUS22 TASK-AA-1000 0.487559 0.472871 0.468884 0.457707 0.473325 0.492585
VPMBAUS15 TASK-AA-1000 0.473504 0.489425 0.481469 0.455931 0.46708 0.462362
VPMBAUS02 TASK-AA-1000 0.482806 0.506164 0.493161 0.492845 0.497022 0.493642
VPMBAUS12 TASK-AA-1000 0.474679 0.503528 0.497958 0.461417 0.47161 0.467429
VPMBAUS05 TASK-AA-1000 0.371019 0.401438 0.388766 0.399256 0.408687 0.396803
VPMBAUS21 TASK-AA-1000 0.562215 0.575404 0.55785 0.533735 0.537709 0.534251
VPMBAUS08 TASK-AA-1000 0.56166 0.537447 0.546837 0.540154 0.544144 0.536703
VPMBAUS03 TASK-AA-1000 0.476377 0.474769 0.475026 0.455299 0.469 0.456444
VPMBAUS07 TASK-AA-1000 0.609975 0.607774 0.590644 0.569234 0.576733 0.571024
VPMBAUS16 TASK-AA-1000 0.462662 0.483296 0.462686 0.43739 0.450585 0.442162
VPMBAUS10 TASK-AA-1000 0.440164 0.438179 0.423192 0.414978 0.428044 0.417971
VPMBAUS11 TASK-AA-2500 0.421803 0.435404 0.388462 0.407052 0.406004 0.419602
VPMBAUS06 TASK-AA-2500 0.356318 0.342187 0.321671 0.336546 0.342941 0.345713
VPMBAUS23 TASK-AA-2500 0.294904 0.333384 0.298831 0.302395 0.311871 0.365678
VPMBAUS12 TASK-AA-2500 0.347103 0.343061 0.331283 0.361804 0.37215 0.372871
VPMBAUS21 TASK-AA-2500 0.372999 0.400038 0.342403 0.366144 0.373354 0.38621
VPMBAUS22 TASK-AA-2500 0.358695 0.353608 0.333857 0.348469 0.35658 0.392096
VPMBAUS07 TASK-AA-2500 0.418044 0.447916 0.40705 0.39325 0.408072 0.405399
VPMBAUS01 TASK-AA-2500 0.389956 0.373795 0.354064 0.381221 0.387054 0.380609
VPMBAUS02 TASK-AA-2500 0.337979 0.355738 0.325186 0.340544 0.342681 0.348624
VPMBAUS10 TASK-AA-2500 0.33252 0.303782 0.284129 0.313188 0.317397 0.320273
VPMBAUS03 TASK-AA-2500 0.32902 0.346786 0.308786 0.320768 0.330235 0.327892
VPMBAUS08 TASK-AA-2500 0.418121 0.412378 0.380403 0.394879 0.401225 0.403981
VPMBAUS15 TASK-AA-2500 0.429495 0.477574 0.438176 0.345892 0.351418 0.355475
VPMBAUS05 TASK-AA-2500 0.272049 0.288055 0.260926 0.280693 0.286001 0.288189
VPMBAUS16 TASK-AA-2500 0.323746 0.338334 0.311027 0.321354 0.329968 0.329852
VPMBAUS11 TASK-UA-0500 0.600442 0.602302 0.591491 0.587042 0.577977 0.585333
VPMBAUS23 TASK-UA-0500 0.514417 0.528469 0.511227 0.496638 0.504845 0.500807
VPMBAUS06 TASK-UA-0500 0.573529 0.567755 0.564127 0.572267 0.573143 0.574745
VPMBAUS07 TASK-UA-0500 0.674954 0.675534 0.660381 0.638165 0.647654 0.639489
VPMBAUS21 TASK-UA-0500 0.639934 0.689256 0.656854 0.619284 0.620835 0.618445
VPMBAUS12 TASK-UA-0500 0.510601 0.526305 0.528324 0.522263 0.536887 0.532525
VPMBAUS01 TASK-UA-0500 0.570005 0.55562 0.555148 0.547929 0.55905 0.547272
VPMBAUS22 TASK-UA-0500 0.538444 0.539398 0.537856 0.507056 0.521769 0.544377
VPMBAUS03 TASK-UA-0500 0.543508 0.552786 0.543904 0.518871 0.53475 0.518545
VPMBAUS08 TASK-UA-0500 0.651072 0.657216 0.646513 0.608482 0.611877 0.601398
VPMBAUS02 TASK-UA-0500 0.538526 0.537284 0.548794 0.553288 0.557506 0.551236
